,0,1
899,성내천로성남시계,899
900,배재중학교,900
901,대치사거리,901
902,공항시장역,902
903,덕수프라자,903
904,학동역,904
905,신정7동주민센터,905
906,상일동역(고덕우체국),906
907,서대문역,907
908,구로구청구의회,908
909,용문시장,909
910,화곡터널북단,910
911,박석고개,911
912,신림1교,912
913,새솔금호아파트,913
914,염곡사거리,914
915,하안남초교삼거리,915
916,양재IC서측,916
917,을지로4가,917
918,대조불광시장,918
919,농업기술진흥관,919
920,신석초교,920
921,뚝섬역,921
922,문화촌현대아파트,922
923,성산1교,923
924,독립문역,924
925,아현역,925
926,광흥창역,926
927,구로IC,927
928,월드컵파크7단지,928
929,남가좌동사거리,929
930,외발산동,930
931,수유5동사무소,931
932,서초3동사거리,932
933,구반포역,933
934,우신중고교입구,934
935,방아삼거리,935
936,서초IC남측,936
937,상암월드컵아파트,937
938,우이교,938
939,수색교,939
940,곰달래사거리,940
941,양동초교입구,941
942,망우사거리,942
943,고덕시영아파트,943
944,공덕동자치회관별관,944
945,진흥아파트,945
946,거여삼거리,946
947,삼청공원입구,947
948,한강중교앞,948
949,목동10단지,949
950,하계5.6단지,950
951,신월IC,951
952,연남동사거리,952
953,태진운수,953
954,광운초교앞,954
955,반포IC북측사평대로진출,955
956,당고개입구오거리,956
957,청구역,957
958,한국전력동부지점,958
959,양재IC동측,959
960,청담IC,960
961,흑석역,961
962,녹천지하보차도,962
963,장지터널(동측),963
964,탄천IC진입(동부간선도로),964
965,시계(호암로),965
966,강동성심병원교차로,966
967,동대문역사문화공원입구,967
968,중랑교(중랑로터리),968
969,마곡역1번출구,969
970,우림시장,970
971,광명대교,971
972,아카데미하우스,972
973,무학여고앞,973
974,명보사거리,974
975,강변북로마포-서강,975
976,창신역,976
977,대영초교,977
978,새문안교회,978
979,고덕초교,979
980,여의도공원서,980
981,원광초교,981
982,뚝섬한강시민공원,982
983,은천로입구,983
984,성수대교남단,984
985,방학동새마을금고,985
986,다문화복지센터,986
987,삼익그린아파트,987
988,방학역,988
989,응암시장,989
990,불광역,990
991,안암오거리,991
992,광명고가차도(북측),992
993,방배역,993
994,마곡역1번출구앞,994
995,마포구청,995
996,봉은교,996
997,성서초교,997
998,강서구청입구,998
999,원자력병원입구,999
1000,서울시설공단,1000
1001,상계중학교,1001
1002,동작현대아파트유한양행,1002
1003,상계14-16단지,1003
1004,흑석2동신한은행_흑석로,1004
1005,오류고교,1005
1006,성북구민회관입구,1006
1007,만능카종합공업사,1007
1008,방화2단지,1008
1009,떡전교사거리,1009
1010,숙대입구,1010
1011,압구정로데오역,1011
1012,삼도오피스텔,1012
1013,목5동성당,1013
1014,고속터미널역,1014
1015,천호시장,1015
1016,화랑대역,1016
1017,이촌대림아파트(강변북로),1017
1018,광진교북단교차로,1018
1019,용곡삼거리,1019
1020,서서울호수공원앞,1020
1021,서울역(서부),1021
1022,양천향교역,1022
1023,이촌동두산위브,1023
1024,경춘북로구리시계,1024
1025,연희IC,1025
1026,서초삼호아파트,1026
1027,문래동KT&G,1027
1028,기상청입구,1028
1029,종암사거리,1029
1030,선정릉역,1030
1031,월드컵공원,1031
1032,구파발역입구,1032
1033,번동사거리,1033
1034,용비교동측,1034
1035,신도림고가차도앞,1035
1036,양천구의회,1036
1037,여의도(서울교),1037
1038,성북트리즘빌딩,1038
1039,신길삼거리,1039
1040,시티월드앞,1040
1041,먹골역,1041
1042,김포공항입구,1042
1043,광장힐스테이트아파트,1043
1044,DMC첨단산업센터,1044
1045,쌍문초교,1045
1046,거여동사거리,1046
1047,대아아파트앞,1047
1048,백범광장,1048
1049,유수지주차장,1049
1050,하계역,1050
1051,봉원고가차도,1051
1052,학여울역,1052
1053,청계5가,1053
1054,대림공원,1054
1055,공릉파출소,1055
1056,대림삼거리,1056
1057,증산교,1057
1058,연촌초교,1058
1059,KT목동빌딩,1059
1060,개봉사거리,1060
1061,방이초교,1061
1062,도화현대아파트,1062
1063,오목교서측,1063
1064,방화5단지교차로,1064
1065,고덕주공3단지,1065
1066,한국은행앞,1066
1067,오류동삼거리,1067
1068,창전사거리,1068
1069,노원구민체육센터,1069
1070,홍제램프(내부순환로),1070
1071,신사지하차도,1071
1072,성원아파트앞,1072
1073,충정로역,1073
1074,월드컵파크6단지,1074
1075,방이삼거리,1075
1076,장위동원천주유소,1076
1077,고대앞사거리,1077
1078,낙원상가,1078
1079,연신초교삼거리,1079
1080,강남을지병원,1080
1081,홍제삼거리,1081
1082,한국방송공사앞,1082
1083,구룡터널,1083
1084,양평교,1084
1085,중구청,1085
1086,삼익세라믹아파트,1086
1087,용비어천가,1087
1088,청계6가앞,1088
1089,대림시장,1089
1090,영등포유통상가,1090
1091,영등포 푸르지오,1091
1092,옥정중학교,1092
1093,고려대역교차로,1093
1094,한신청구아파트앞,1094
1095,구룡초교,1095
1096,녹천교,1096
1097,삼양동사거리,1097
1098,서초구립반포도서관,1098
1099,고속터미널,1099
1100,서울이동통신,1100
1101,우신초교앞,1101
1102,금남시장,1102
1103,신답육교,1103
1104,대명초교,1104
1105,문덕초교,1105
1106,가양역,1106
1107,청량리교회,1107
1108,상왕십리역,1108
1109,올림픽공원남4문,1109
1110,독산역,1110
1111,SBS방송센터,1111
1112,영동3교,1112
1113,양화진성지,1113
1114,남산도서관,1114
1115,마포농수산물시장,1115
1116,양천공원,1116
1117,상원삼거리,1117
1118,역사박물관,1118
1119,용강동주민센터,1119
1120,노량진삼거리,1120
1121,제일기획,1121
1122,이태원역,1122
1123,석계역,1123
1124,남부순환로탄천IC진입,1124
1125,선유도역,1125
1126,생명의전화,1126
1127,배봉초교,1127
1128,신림초교,1128
1129,올림픽파크텔앞,1129
1130,현대백화점인재개발원,1130
1131,동교동삼거리,1131
1132,태영데시앙아파트,1132
1133,도산공원,1133
1134,도봉한신아파트,1134
1135,중계그린아파트,1135
1136,청담공원앞,1136
1137,중화역입구대원사약국,1137
1138,동호대교남단,1138
1139,창1동주민센터,1139
1140,성균관대입구,1140
1141,노원구민회관,1141
1142,쌍마빌딩,1142
1143,경인고속입구,1143
1144,성북경찰서앞,1144
1145,삼희아파트,1145
1146,성산초교앞,1146
1147,묵동성심의원,1147
1148,구로역,1148
1149,논현역,1149
1150,숭미초교,1150
1151,개포3.4단지,1151
1152,대림사거리,1152
1153,SG타워아파트,1153
1154,서대문세무서(별관),1154
1155,영휘원,1155
1156,길음램프(내부순환로),1156
1157,성원아파트,1157
1158,비전프라자,1158
1159,구로거리공원동,1159
1160,노원교,1160
1161,광남중고교입구,1161
1162,선암UD,1162
1163,이수교차로,1163
1164,순복음교회,1164
1165,반포대교남단,1165
1166,동부간선강변북로분기점,1166
1167,썬프라자,1167
1168,방이역,1168
1169,온곡초교입구,1169
1170,모래내지하차도(북측),1170
1171,목동9-10단지,1171
1172,성심의집,1172
1173,봉익동,1173
1174,KT관악지점,1174
1175,시흥사거리,1175
1176,가산디지털단지역(1호선),1176
1177,녹천역입구,1177
1178,시조사삼거리,1178
1179,염창IC,1179
1180,신영동삼거리,1180
1181,금천교교차로,1181
1182,문래동현대6차아파트,1182
1183,공릉라이프아파트,1183
1184,서울역사거리,1184
1185,청운벽산빌리지,1185
1186,종로1가,1186
1187,장평교,1187
1188,국립4.19묘지입구,1188
1189,이대목동병원,1189
1190,신정교서단,1190
1191,어린이대공원역,1191
1192,샘터근린공원,1192
1193,구산사거리,1193
1194,현대3차아파트,1194
1195,미아리고개예술극장,1195
1196,양천도서관,1196
1197,남산3호터널북단,1197
